city,country,lon,lat
Andorra La Vella,Andorra,1.5166667,42.5
Canillo,Andorra,1.6,42.5666667
Encamp,Andorra,1.5833333,42.5333333
La Massana,Andorra,1.5166667,42.55
Les Escaldes,Andorra,1.5333333,42.5
Ordino,Andorra,1.5333333,42.55
Sant Julia De Loria,Andorra,1.5,42.4666667
Abu Dhabi,Emiratos Árabes Unidos,54.366667,24.466667
Dubai,Emiratos Árabes Unidos,55.304717,25.258172
Sharjah,Emiratos Árabes Unidos,55.403304,25.35731
Acin,Afganistán,70.668152,34.082481
Anar Darreh,Afganistán,61.653969,32.758698
Andarab,Afganistán,69.260195,35.633484
Asadabad,Afganistán,71.14697,34.873113
Asmar,Afganistán,71.358087,35.033328
Aybak,Afganistán,68.015512,36.26468
Azrow,Afganistán,69.645728,34.173553
Baglan,Afganistán,68.708286,36.130684
Bagrami,Afganistán,69.274274,34.493761
Baraki Barak,Afganistán,68.948611,33.9675
Cah Ab,Afganistán,69.814644,37.397734
Carikar,Afganistán,69.174011,35.016585
Ciras,Afganistán,65.982341,35.416737
Dawlatabad,Afganistán,64.920713,36.432589
Dawlatabad,Afganistán,66.82066,36.98782
Deh Rawud,Afganistán,65.459659,32.624131
Eskasem,Afganistán,71.570658,36.706932
Farah,Afganistán,62.116383,32.374508
Gardan Diwal,Afganistán,68.260739,34.508977
Gardez,Afganistán,69.225922,33.597439
Gazni,Afganistán,68.4225,33.550833
Geresk,Afganistán,64.570048,31.820894
Herat,Afganistán,62.199673,34.348167
Jalalabad,Afganistán,70.45153,34.426468
Jurm,Afganistán,70.834207,36.864768
Kabul,Afganistán,69.183333,34.516667
Kholm,Afganistán,67.698255,36.697362
Khowst,Afganistán,69.92041,33.339512
Kuhestan,Afganistán,61.197778,34.653889
Kusk,Afganistán,61.952206,33.29565
Lar Gerd,Afganistán,66.664088,35.489361
Mehtar Lam,Afganistán,70.209444,34.671389
Mirabad,Afganistán,61.838304,30.436244
Nahrin,Afganistán,69.13343,36.064904
Nuristan,Afganistán,70.4,34.95
Orgun,Afganistán,69.152798,32.901111
Pagman,Afganistán,68.953333,34.5875
Panjab,Afganistán,67.023273,34.387949
Qandahar,Afganistán,65.710126,31.613323
Qarchi Gak,Afganistán,66.788912,37.039988
Qarqin,Afganistán,66.074375,37.404464
Qunduz,Afganistán,68.857001,36.728955
Rostaq,Afganistán,69.83045,37.126035
Rudbar,Afganistán,62.6,30.15
Sahrak,Afganistán,64.305199,34.107375
Sangin,Afganistán,64.835903,32.072752
Sar-E Pul,Afganistán,65.932487,36.215443
